   Compiling gp v0.1.0 (/home/chris/projects/rust/gp)
    Finished release [optimized] target(s) in 1.82s
     Running `target/release/gp`
CURRENT NUM THREADS= 8
Run #1
num hits=40
   gen tfid tcid   hits      r      s        a        n      nfr avgRawF
  ----  ---  ---  -----    ---    ---   ------   ------   ------
     0 7999 7532     40     38     38 0.025641 0.000164 0.999936  62.05
     1 7999 7738     40     38     38 0.025641 0.000151 1.000106  75.78
     2 7999 7833     40     38     38 0.025641 0.000150 0.999939  75.02
     3 7999 7807     43     35     35 0.027778 0.000161 0.999993  70.42
     4 7999 7445     46     32     32 0.030303 0.000168 1.000068  53.79
     5 7999 2408     47     31     31 0.031250 0.000160 1.000137  42.66
     6 7999 4121     50     28     28 0.034483 0.000171 0.999992  43.00
     7 7999 5440     58     20     20 0.047619 0.000228 1.000055  44.38
     8 7999 4904     59     19     19 0.050000 0.000224 1.000080  47.40
     9 7999 6454     59     19     19 0.050000 0.000212 0.999984  48.65
    10 7999 5891     62     16     16 0.058824 0.000233 1.000012  51.16
    11 7999 6837     62     16     16 0.058824 0.000203 0.999973  54.98
    12 7999 7645     62     16     16 0.058824 0.000174 1.000026  59.20
    13 7999 7995     62     16     16 0.058824 0.000165 1.000064  60.47
    14 7999  889     65     13     13 0.071429 0.000189 1.000037  61.21
    15 7999 7776     65     13     13 0.071429 0.000177 1.000000  62.72
    16 7999 7993     65     13     13 0.071429 0.000169 0.999880  63.34
    17 7999 5706     67     11     11 0.083333 0.000193 0.999999  63.84
    18 7999 7069     67     11     11 0.083333 0.000179 0.999959  64.76
    19 7999 7798     67     11     11 0.083333 0.000168 0.999972  65.85
    20 7999 1011     70      8      8 0.111111 0.000220 0.999873  66.08
    21 7999 4810     70      8      8 0.111111 0.000211 0.999955  66.62
    22 7999 7454     70      8      8 0.111111 0.000195 1.000031  67.37
    23 7999 5911     71      7      7 0.125000 0.000212 0.999979  67.71
    24 7999 7374     71      7      7 0.125000 0.000198 1.000067  68.29
    25 7999 7743     72      6      6 0.142857 0.000204 1.000013  69.29
    26 7999 6918     72      6      6 0.142857 0.000186 1.000111  70.08
    27 7999 7846     72      6      6 0.142857 0.000181 1.000115  70.12
    28 7999 7588     74      4      4 0.200000 0.000245 0.999993  70.59
    29 7999 7938     74      4      4 0.200000 0.000231 1.000075  70.94
    30 7999 7983     74      4      4 0.200000 0.000219 0.999956  71.26
    31 7999 7937     74      4      4 0.200000 0.000203 0.999967  71.90
    32 7999 7996     74      4      4 0.200000 0.000190 0.999920  72.25
    33 7999 7999     74      4      4 0.200000 0.000164 0.999959  73.12
    34 7999 7997     74      4      4 0.200000 0.000153 1.000052  73.72
    35 7999 7999     74      4      4 0.200000 0.000150 0.999975  73.78
    36 7999 7993     74      4      4 0.200000 0.000152 1.000051  73.79
    37 7999 2198     75      3      3 0.250000 0.000189 1.000089  73.79
    38 7999 7669     75      3      3 0.250000 0.000189 1.000021  73.84
    39 7999 7974     75      3      3 0.250000 0.000189 0.999998  73.83
    40 7999 7960     75      3      3 0.250000 0.000187 0.999954  73.82
    41 7999 7999     75      3      3 0.250000 0.000177 1.000002  74.06
    42 7999 7999     75      3      3 0.250000 0.000160 1.000097  74.52
    43 7999 7999     75      3      3 0.250000 0.000150 1.000064  74.72
    44 7999 7999     75      3      3 0.250000 0.000150 0.999982  74.72
    45 7999 7999     75      3      3 0.250000 0.000148 0.999910  74.71
    46 7999 7998     75      3      3 0.250000 0.000148 1.000100  74.81
    47 7999 7999     75      3      3 0.250000 0.000149 0.999970  74.77
    48 7999 7999     75      3      3 0.250000 0.000150 0.999962  74.78
    49 7999 7996     75      3      3 0.250000 0.000149 1.000013  74.72
    50 7999 7999     75      3      3 0.250000 0.000149 1.000002  74.77
Run #2
num hits=60
   gen tfid tcid   hits      r      s        a        n      nfr avgRawF
  ----  ---  ---  -----    ---    ---   ------   ------   ------
     0 7999 7692     45     33     33 0.029412 0.000189 1.000019  61.61
     1 7999 7326     35     43     43 0.022727 0.000134 1.000109  75.83
     2 7999 6990     35     43     43 0.022727 0.000134 0.999954  75.28
     3 7999 7532     44     34     34 0.028571 0.000167 1.000113  72.32
     4 7999 7889     44     34     34 0.028571 0.000166 1.000060  57.96
     5 7999 5118     49     29     29 0.033333 0.000189 1.000110  38.83
     6 7999 4686     49     29     29 0.033333 0.000180 1.000023  38.92
     7 7999 5481     51     27     27 0.035714 0.000172 0.999984  43.75
     8 7999 7351     53     25     25 0.038462 0.000172 1.000125  47.18
     9 7999 7457     54     24     24 0.040000 0.000170 0.999939  49.15
    10 7999 4649     55     23     23 0.041667 0.000165 0.999930  51.04
    11 7999 3083     56     22     22 0.043478 0.000164 0.999913  52.45
    12 7999 3476     58     20     20 0.047619 0.000170 1.000041  54.32
    13 7999 7013     58     20     20 0.047619 0.000163 0.999958  55.45
    14 7999 4424     60     18     18 0.052632 0.000173 0.999902  56.45
    15 7999  904     62     16     16 0.058824 0.000187 0.999984  57.46
    16 7999 6945     62     16     16 0.058824 0.000177 1.000047  58.71
    17 7999 2558     64     14     14 0.066667 0.000189 0.999984  59.62
    18 7999 1990     64     14     14 0.066667 0.000180 1.000074  60.88
    19 7999 3573     65     13     13 0.071429 0.000181 0.999971  62.11
    20 7999 4676     67     11     11 0.083333 0.000202 1.000029  62.79
    21 7999 7188     67     11     11 0.083333 0.000192 0.999984  63.57
    22 7999 6789     69      9      9 0.100000 0.000218 0.999916  64.45
    23 7999 7851     69      9      9 0.100000 0.000206 0.999936  65.43
    24 7999 4413     70      8      8 0.111111 0.000208 0.999921  66.40
    25 7999 7399     71      7      7 0.125000 0.000211 0.999997  67.53
    26 7999 4963     73      5      5 0.166667 0.000260 0.999976  68.64
    27 7999 6696     73      5      5 0.166667 0.000241 0.999964  69.33
    28 7999 7731     73      5      5 0.166667 0.000231 1.000005  69.68
    29 7999 7988     73      5      5 0.166667 0.000214 1.000095  70.21
    30 7999 6849     74      4      4 0.200000 0.000232 0.999967  70.91
    31 7999 6335     75      3      3 0.250000 0.000260 0.999981  71.77
    32 7999 4399     76      2      2 0.333333 0.000308 1.000034  72.57
    33 7999 7977     76      2      2 0.333333 0.000289 1.000023  72.81
    34 7999 4809     77      1      1 0.500000 0.000396 1.000014  73.33
    35 7999 7137     77      1      1 0.500000 0.000322 0.999986  74.32
    36 7999 7577     77      1      1 0.500000 0.000280 1.000067  74.78
    37 7999 7959     77      1      1 0.500000 0.000235 0.999994  75.34
    38 7999 7999     77      1      1 0.500000 0.000205 1.000009  75.71
