win=1, run=1, gen=40, effort=656000
win=2, run=8, gen=13, effort=5936000
win=3, run=1, gen=16, effort=272000
win=4, run=1, gen=40, effort=656000
win=5, run=1, gen=41, effort=672000
win=6, run=3, gen=8, effort=1776000
win=7, run=3, gen=33, effort=2176000
win=8, run=1, gen=28, effort=464000
win=9, run=1, gen=14, effort=240000
win=10, run=1, gen=12, effort=208000
win=1, run=1, gen=40, effort=656000
win=1, run=1, gen=40, effort=656000
win=1, run=1, gen=40, effort=656000
win=1, run=1, gen=40, effort=656000
win=1, run=1, gen=40, effort=656000
win=1, run=1, gen=40, effort=656000
win=1, run=1, gen=40, effort=656000
win=1, run=1, gen=40, effort=656000
win=1, run=1, gen=40, effort=656000
win=1, run=1, gen=40, effort=656000
win=1, run=1, gen=40, effort=656000
win=1, run=1, gen=40, effort=656000
win=1, run=1, gen=40, effort=656000
win=1, run=1, gen=40, effort=656000
win=1, run=1, gen=40, effort=656000
win=1, run=1, gen=40, effort=656000
